Organization,"FT FAC Plan","FT FAC FTE"
"Afric Std",2.33333333333333,21.2666666666667
"Ag Mgt & Plcy",15.75,38.2583725
"Amer Std",7.4,25.013344
"Anc Std",8.83333333333333,22.2223166666667
"Biol Sci",51.6969696969697,21.2278915151515
"Chem & Bioc Eng",26.3076923076923,8.38504076923077
Chemistry,31.3809523809524,29.8411533333333
"Comp Sci & EE",46.9444444444444,21.7141011111111
Dance,13.5,13.13325
Economics,32.3684210526316,27.6701831578947
Education,22.9,13.807497
"Emgcy Hlth Srvc",20.8333333333333,14.24725
English,13.7916666666667,22.9486658333333
"Gend & Wm Std",12,27
"Geog & Env Sys",25.7857142857143,29.9472728571429
History,19.6666666666667,19.7049383333333
"Info Sys",51.6538461538462,26.9215792307692
"Lang Lit & Cult",20.3333333333333,13.08887
"Math & Stat",13.8709677419355,34.8814816129032
"Mech Eng",41.4666666666667,13.443686
"Med & Comm Std",66.5,16.333375
"Modern LL & IC",8.16666666666667,23.0337386666667
Music,12.8333333333333,15.44722
Philosophy,13.2,40.8
Physics,10.3684210526316,17.2016094736842
"Political Sci",30.2142857142857,17.6190542857143
Psychology,48.9615384615385,35.2890088461538
"Public Polic",15.6666666666667,8.77653
"Social Work",32.9166666666667,16.15
"Socy & Anth",39.0588235294118,32.5755294117647
Theatre,7.41666666666667,7.900015
"Visual Arts",23.6818181818182,16.4113577272727
